PLAYER_NAME,TEAM,POS,CLUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Dalton Kincaid,BUF,TE,2.8,4.1,7.1,49.75,5,6,83.33,66,1,9.1,6.8,2.3
Tyreek Hill,MIA,WR,3.9,3.6,14.3,78.63,5,10,50.0,49,1,3.4,2.8,0.6
Jaylen Waddle,MIA,WR,5.6,2.7,3.8,12.5,5,6,83.33,39,1,4.2,4.4,-0.2
Malik Washington,MIA,WR,5.7,6.1,4.1,11.25,3,5,60.0,12,0,5.6,8.3,-2.6
