PLAYER_NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
James Cook,BUF,2.9,26.32,2.66,19,108,43,5.7,2.26,57.9,1
De'Von Achane,MIA,3.7,16.67,2.78,12,62,-6,5.2,-0.51,41.7,0
