Rank,Player Name,Pos,Opp,$,AVG ADP,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
50,Khalil Shakir,WR,BAL,22,98,no change,10.1,54,0.0,N/A,5,N/A,10.6,5.1/0.0,0.0,0.0
51,Aaron Jones,RB,N/A,22,59.2,no change,12.6,76,4.4,13,3,1,7.5,2.5/0.0,0.0,0.0
52,Emeka Egbuka,WR,@ATL,21,74,no change,9.9,56,0.0,N/A,4,N/A,13.2,4.2/0.0,0.0,0.0
53,Calvin Ridley,WR,@DEN,21,66,no change,10.4,60,0.0,N/A,5,N/A,12.3,4.9/0.0,0.0,0.0
54,Jaylen Warren,RB,@NYJ,21,84,no change,11.3,70,4.3,11,3,N/A,7.9,2.9/0.0,0.0,0.0
55,Garrett Wilson,WR,PIT,20,39,no change,11.5,65,0.0,N/A,6,N/A,11.5,5.6/0.0,0.0,0.0
56,D'Andre Swift,RB,MIN,20,56,no change,11.4,79,4.3,14,2,N/A,7.3,2.4/0.0,0.0,0.0
57,Jaylen Waddle,WR,@IND,20,67,no change,11.7,66,7.5,N/A,5,N/A,12.9,4.9/0.0,0.0,0.0
58,TreVeyon Henderson,RB,LV,19,44,no change,10.6,68,4.2,12,2,N/A,7.2,2.4/0.0,0.0,0.0
59,Travis Hunter,WR,CAR,19,68,no change,11.0,62,0.0,N/A,5,N/A,13.3,4.7/0.0,0.0,0.0
60,Jakobi Meyers,WR,@NE,18,89,no change,10.7,61,0.0,N/A,5,N/A,11.6,5.3/0.0,0.0,0.0
61,Jameson Williams,WR,@GB,18,60,no change,9.4,54,0.0,N/A,4,N/A,13.9,3.9/0.0,0.0,0.0
62,David Montgomery,RB,@GB,17,64,no change,11.2,60,4.4,11,2,1,7.2,1.8/0.0,0.0,0.0
63,DK Metcalf,WR,@NYJ,16,41.4,no change,10.8,62,0.0,N/A,5,N/A,12.7,4.9/0.0,0.0,0.0
64,J.K. Dobbins,RB,TEN,16,92,no change,10.1,60,4.4,11,2,1,6.9,1.9/0.0,0.0,0.0
65,RJ Harvey,RB,TEN,15,59,no change,8.1,48,4.3,9,1,N/A,7.6,1.4/0.0,0.0,0.0
66,Isiah Pacheco,RB,@LAC,15,55,no change,11.0,69,4.3,12,2,N/A,6.8,2.4/0.0,0.0,0.0
67,Austin Ekeler,RB,NYG,14,99,no change,9.9,61,4.3,8,3,N/A,8.4,3.2/0.0,0.0,0.0
68,Jauan Jennings,WR,@SEA,14,104,no change,11.5,63,0.0,N/A,5,N/A,12.4,5.1/0.0,0.0,0.0
69,Stefon Diggs,WR,LV,14,88,no change,10.2,56,0.0,N/A,5,N/A,10.9,5.1/0.0,0.0,0.0
70,Travis Etienne Jr.,RB,CAR,14,91,no change,9.8,63,4.2,11,2,N/A,7.7,2.4/0.0,0.0,0.0
71,Deebo Samuel Sr.,WR,NYG,14,85,no change,10.7,61,5.0,1,4,N/A,12.6,4.3/0.0,0.0,0.0
72,George Pickens,WR,@PHI,14,62,no change,11.4,65,0.0,N/A,5,N/A,13.8,4.7/0.0,0.0,0.0
73,Sam Laporta,TE,@GB,13,49,no change,8.7,46,0.0,N/A,4,N/A,11.4,4.0/0.0,0.0,0.0
74,Ricky Pearsall,WR,@SEA,13,82,no change,11.0,61,0.0,N/A,5,N/A,12.2,5.0/0.0,0.0,0.0
75,Mark Andrews,TE,@BUF,12,71,no change,10.9,57,0.0,N/A,5,N/A,11.2,5.1/0.0,0.0,0.0
76,Cooper Kupp,WR,SF,11,93,no change,9.0,48,0.0,N/A,4,N/A,11.3,4.2/0.0,0.0,0.0
77,Rome Odunze,WR,MIN,11,78,no change,10.6,59,0.0,N/A,5,N/A,12.0,4.9/0.0,0.0,0.0
78,David Njoku,TE,CIN,10,83,no change,11.6,62,0.0,N/A,6,N/A,10.9,5.7/0.0,0.0,0.0
79,Travis Kelce,TE,@LAC,10,65,no change,10.4,51,0.0,N/A,5,N/A,9.6,5.3/0.0,0.0,0.0
80,Jerome Ford,RB,CIN,10,148,no change,8.6,55,4.2,9,2,N/A,7.1,2.3/0.0,0.0,0.0
81,Darnell Mooney,WR,TB,10,137,no change,9.3,51,0.0,N/A,4,N/A,12.7,4.0/0.0,0.0,0.0
82,T.J. Hockenson,TE,@CHI,10,61,no change,11.2,60,0.0,N/A,6,N/A,10.6,5.7/0.0,0.0,0.0
83,Matthew Golden,WR,DET,9,86,no change,9.6,54,0.0,N/A,4,N/A,12.5,4.3/0.0,0.0,0.0
84,Jayden Reed,WR,DET,9,131,no change,9.3,54,5.5,1,4,N/A,12.7,3.8/0.0,0.0,0.0
85,Josh Downs,WR,MIA,8,115,no change,11.2,58,0.0,N/A,5,N/A,11.5,5.1/0.0,0.0,0.0
86,Michael Pittman Jr.,WR,MIA,8,103,no change,11.5,60,0.0,N/A,5,N/A,11.8,5.1/0.0,0.0,0.0
87,Chris Olave,WR,ARI,8,76,no change,11.9,70,0.0,N/A,6,N/A,11.9,5.9/0.0,0.0,0.0
88,Keenan Allen,WR,KC,8,140,no change,9.7,52,0.0,N/A,4,N/A,12.2,4.3/0.0,0.0,0.0
89,Javonte Williams,RB,@PHI,7,109,no change,10.4,65,4.0,12,2,N/A,6.5,2.3/0.0,0.0,0.0
90,Cedric Tillman,WR,CIN,7,176,no change,9.4,53,0.0,N/A,4,N/A,12.3,4.3/0.0,0.0,0.0
91,Evan Engram,TE,TEN,7,81,no change,9.3,48,0.0,N/A,5,N/A,9.9,4.9/0.0,0.0,0.0
92,Adam Thielen,WR,@CHI,7,168,no change,7.9,45,0.0,N/A,4,N/A,11.7,3.8/0.0,0.0,0.0
93,Jordan Mason,RB,@CHI,7,90,no change,7.5,45,4.2,9,1,N/A,7.9,1.1/0.0,0.0,0.0
