Unnamed: 0_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC
Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Drew Lock SEA,0.7,0.5,4.6,0.1,0.1,0.1,0.5,0.0,0.0,0.4
Dillon Gabriel CLE,0.6,0.4,3.7,0.1,0.0,0.1,0.3,0.0,0.0,0.4
Trey Lance LAC,0.8,0.5,5.0,0.0,0.0,0.2,0.6,0.0,0.0,0.3
Kyle Allen DET,0.5,0.4,4.8,0.0,0.0,0.1,0.1,0.0,0.0,0.2
Case Keenum CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Siemian TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Beathard DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Rypien CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Huntley BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle McCord PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Zappe CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skylar Thompson PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hendon Hooker CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Oladokun KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clayton Tune GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurtis Rourke SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Miller LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
