PLAYER_NAME,TEAM,POS,CLUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Emeka Egbuka,TB,WR,7.6,3.0,11.3,28.88,4,7,57.14,29,1,8.9,8.4,0.5
Romeo Doubs,GB,WR,4.4,2.9,16.5,21.0,3,5,60.0,28,1,5.5,6.1,-0.5
Marvin Harrison Jr.,ARI,WR,7.3,1.8,8.9,23.59,2,5,40.0,27,0,6.1,2.9,3.2
A.J. Brown,PHI,WR,3.6,2.0,7.4,42.59,5,8,62.5,27,0,0.9,1.5,-0.6
Cedric Tillman,CLE,WR,7.5,1.3,10.6,28.04,2,7,28.57,22,1,-0.7,0.1,-0.8
Travis Hunter,JAX,WR,6.6,3.9,5.4,10.22,3,6,50.0,22,0,7.6,8.6,-1.0
DK Metcalf,PIT,WR,4.1,1.1,7.4,21.39,3,6,50.0,20,1,1.7,1.5,0.2
Dawson Knox,BUF,TE,3.6,5.3,4.3,15.55,2,5,40.0,19,0,8.4,8.6,-0.2
Brenton Strange,JAX,TE,9.9,3.8,4.9,7.73,3,5,60.0,17,0,2.5,4.8,-2.3
Tre Tucker,LV,WR,8.5,1.6,8.8,21.87,3,8,37.5,12,0,2.6,3.5,-0.9
Andrei Iosivas,CIN,WR,4.7,1.8,11.7,16.78,1,5,20.0,12,0,0.8,1.4,-0.6
Olamide Zaccheaus,CHI,WR,3.8,1.8,8.4,13.36,2,5,40.0,12,0,1.6,1.9,-0.3
Noah Gray,KC,TE,5.2,2.7,8.5,15.02,1,5,20.0,1,0,3.2,3.8,-0.6
Chimere Dike,TEN,WR,7.0,3.8,8.9,19.92,2,5,40.0,-1,0,2.0,4.1,-2.1
Xavier Legette,CAR,WR,7.5,2.2,8.8,17.44,1,8,12.5,-2,0,1.3,3.7,-2.4
