league_id,roster_id,player_id
1257071160403709954,1,11564
1257071160403709954,1,11637
1257071160403709954,1,12517
1257071160403709954,1,12529
1257071160403709954,1,1426
1257071160403709954,1,4981
1257071160403709954,1,4988
1257071160403709954,1,5045
1257071160403709954,1,6650
1257071160403709954,1,6813
1257071160403709954,1,7002
1257071160403709954,1,7564
1257071160403709954,1,7588
1257071160403709954,1,8112
1257071160403709954,1,GB
1257071160403709954,2,10444
1257071160403709954,2,11533
1257071160403709954,2,11563
1257071160403709954,2,11638
1257071160403709954,2,12484
1257071160403709954,2,12495
1257071160403709954,2,1479
1257071160403709954,2,2133
1257071160403709954,2,5859
1257071160403709954,2,6783
1257071160403709954,2,7591
1257071160403709954,2,8130
1257071160403709954,2,8205
1257071160403709954,2,9221
1257071160403709954,2,DEN
1257071160403709954,3,12501
1257071160403709954,3,3198
1257071160403709954,3,4037
1257071160403709954,3,4066
1257071160403709954,3,5022
1257071160403709954,3,5967
1257071160403709954,3,6770
1257071160403709954,3,6803
1257071160403709954,3,7523
1257071160403709954,3,7525
1257071160403709954,3,7839
1257071160403709954,3,8126
1257071160403709954,3,8146
1257071160403709954,3,9226
1257071160403709954,3,9501
1257071160403709954,3,9753
1257071160403709954,3,MIN
1257071160403709954,4,10229
1257071160403709954,4,11655
1257071160403709954,4,12518
1257071160403709954,4,1689
1257071160403709954,4,4892
1257071160403709954,4,5012
1257071160403709954,4,5850
1257071160403709954,4,6801
1257071160403709954,4,6806
1257071160403709954,4,7571
1257071160403709954,4,8121
1257071160403709954,4,8155
1257071160403709954,4,8259
1257071160403709954,4,8676
1257071160403709954,4,9493
1257071160403709954,4,ARI
1257071160403709954,5,11560
1257071160403709954,5,11589
1257071160403709954,5,11604
1257071160403709954,5,11628
1257071160403709954,5,12469
1257071160403709954,5,12489
1257071160403709954,5,12506
1257071160403709954,5,2449
1257071160403709954,5,3321
1257071160403709954,5,3678
1257071160403709954,5,4034
1257071160403709954,5,6790
1257071160403709954,5,6819
1257071160403709954,5,7567
1257071160403709954,5,SF
1257071160403709954,6,11576
1257071160403709954,6,11632
1257071160403709954,6,12514
1257071160403709954,6,4035
1257071160403709954,6,4046
1257071160403709954,6,4217
1257071160403709954,6,4666
1257071160403709954,6,4950
1257071160403709954,6,7543
1257071160403709954,6,8110
1257071160403709954,6,8125
1257071160403709954,6,8134
1257071160403709954,6,8137
1257071160403709954,6,8698
1257071160403709954,6,9224
1257071160403709954,6,LAR
1257071160403709954,7,10236
1257071160403709954,7,11624
1257071160403709954,7,11635
1257071160403709954,7,12481
1257071160403709954,7,12490
1257071160403709954,7,4144
1257071160403709954,7,4227
1257071160403709954,7,4866
1257071160403709954,7,4984
1257071160403709954,7,5846
1257071160403709954,7,5892
1257071160403709954,7,5947
1257071160403709954,7,6804
1257071160403709954,7,9500
1257071160403709954,7,PIT
1257071160403709954,8,11620
1257071160403709954,8,12507
1257071160403709954,8,12530
1257071160403709954,8,1945
1257071160403709954,8,3163
1257071160403709954,8,4199
1257071160403709954,8,5849
1257071160403709954,8,6786
1257071160403709954,8,7553
1257071160403709954,8,7569
1257071160403709954,8,8151
1257071160403709954,8,9484
1257071160403709954,8,9504
1257071160403709954,8,9754
1257071160403709954,8,DET
1257071160403709954,9,10859
1257071160403709954,9,11626
1257071160403709954,9,11627
1257071160403709954,9,11786
1257071160403709954,9,12533
1257071160403709954,9,4881
1257071160403709954,9,5927
1257071160403709954,9,6797
1257071160403709954,9,7526
1257071160403709954,9,8138
1257071160403709954,9,8144
1257071160403709954,9,8154
1257071160403709954,9,9494
1257071160403709954,9,9508
1257071160403709954,9,9509
1257071160403709954,9,9756
1257071160403709954,9,BAL
1257071160403709954,10,10222
1257071160403709954,10,12711
1257071160403709954,10,1339
1257071160403709954,10,1466
1257071160403709954,10,4039
1257071160403709954,10,4137
1257071160403709954,10,4663
1257071160403709954,10,5848
1257071160403709954,10,5872
1257071160403709954,10,6904
1257071160403709954,10,7042
1257071160403709954,10,7090
1257071160403709954,10,7528
1257071160403709954,10,7547
1257071160403709954,10,8150
1257071160403709954,10,9997
1257071160403709954,10,BUF
1257071160403709954,11,11539
1257071160403709954,11,11566
1257071160403709954,11,11631
1257071160403709954,11,12504
1257071160403709954,11,12509
1257071160403709954,11,4033
1257071160403709954,11,4983
1257071160403709954,11,6794
1257071160403709954,11,7594
1257071160403709954,11,8131
1257071160403709954,11,8148
1257071160403709954,11,8183
1257071160403709954,11,8228
1257071160403709954,11,9225
1257071160403709954,11,PHI
1257071160403709954,12,11565
1257071160403709954,12,11584
1257071160403709954,12,12512
1257071160403709954,12,12526
1257071160403709954,12,12527
1257071160403709954,12,2216
1257071160403709954,12,3294
1257071160403709954,12,4018
1257071160403709954,12,4195
1257071160403709954,12,5844
1257071160403709954,12,7049
1257071160403709954,12,7611
1257071160403709954,12,8408
1257071160403709954,12,9488
1257071160403709954,12,DAL
