league_id,transaction_id,type,status,notes,creator,created,executed,consenter_ids,roster_ids,leg,draft_id,waiver_budget,adds,drops,metadata
1257071160403709954,1271842266163458048,free_agent,complete,,862347851106197504,1757593335241,,[5],[5],2,,[],"{""12506"":5}","{""12457"":5}",
1257071160403709954,1271704677251031040,free_agent,complete,,847307020301361152,1757560531489,,[1],[1],2,,[],"{""7002"":1}","{""12519"":1}",
1257071160403709954,1271539404850085888,free_agent,complete,,639248377158139904,1757521127477,,[3],[3],2,,[],"{""8126"":3}",,
1257071160403709954,1271539165829287936,free_agent,complete,,866184397953585152,1757521070491,,[9],[9],2,,[],"{""11627"":9}",,
1257071160403709954,1271539077027463168,free_agent,complete,,866184397953585152,1757521049318,,[9],[9],2,,[],,"{""10219"":9}",
1257071160403709954,1271489514715480064,free_agent,complete,,870053621499387904,1757509232743,,[12],[12],2,,[],"{""DAL"":12}","{""WAS"":12}",
1257071160403709954,1271488291161509888,free_agent,complete,,862347851106197504,1757508941024,,[5],[5],2,,[],"{""7567"":5}",,
1257071160403709954,1271443506023399424,free_agent,complete,,728452958819348480,1757498263415,,[2],[2],2,,[],"{""7591"":2}","{""8136"":2}",
1257071160403709954,1271432595397177344,free_agent,complete,,862350761990959104,1757495662120,,[6],[6],2,,[],,"{""8143"":6}",
1257071160403709954,1271414867080802304,free_agent,complete,,862352168672399360,1757491435360,,[8],[8],2,,[],"{""9504"":8}","{""8132"":8}",
1257071160403709954,1271402142984335360,free_agent,complete,,862352168672399360,1757488401699,,[8],[8],2,,[],"{""9754"":8}","{""11651"":8}",
